comando_ingles,alias_pt_br
addshape,adicioneforma
back,tras
backward,paratras
begin_fill,inicie_preenchimento
begin_poly,inicie_poligono
bgcolor,corfundo
bgpic,imagemfundo
bk,tr
bye,feche
circle,circulo
clear,limpe
clearscreen,limpetela
clearstamp,limpecarimbo
clearstamps,limpecarimbos
clone,clone
color,cor
colormode,modocor
degrees,graus
delay,atraso
distance,distancia
done,fim
dot,ponto
down,abaixe
end_fill,termine_preenchimento
end_poly,termine_poligono
exitonclick,sairaoclicar
fd,fr
fill,preencha
fillcolor,corpreenchimento
filling,preenchendo
forward,frente
get_poly,obtenha_poligono
get_shapepoly,obtenha_forma_poligono
getcanvas,obtenhacanvas
getpen,obtenhacaneta
getscreen,obtenhatela
getshapes,obtenhaformas
getturtle,obtenhatartaruga
goto,vapara
heading,angulo
hideturtle,escondatartaruga
home,casa
ht,et
isdown,canetaabaixada
isvisible,estavisivel
left,esquerda
listen,escute
lt,esq
mainloop,loopprincipal
mode,modo
no_animation,sem_animacao
numinput,entradanumero
onclick,aoclicar
ondrag,aoarrastar
onkey,aotecla
onkeypress,aopressionartecla
onkeyrelease,aosoltartecla
onrelease,aosoltar
onscreenclick,aoclicartela
ontimer,aotemporizador
pd,ac
pen,caneta
pencolor,corcaneta
pendown,abaixecaneta
pensize,tamanhocaneta
penup,levantecaneta
poly,poligono
pos,posicao
position,posicaoatual
pu,lc
radians,radianos
register_shape,registre_forma
reset,reinicie
resetscreen,reinicietela
resizemode,modoredimensionamento
right,direita
rt,dir
save,salve
screensize,tamanhotela
seth,definaangulo
setheading,definadirecao
setpos,definaposicao
setposition,definaposicao
setundobuffer,definabufferdesfazer
setup,configure
setworldcoordinates,definacoordenadasmundo
setx,definax
sety,definay
shape,forma
shapesize,tamanhoforma
shapetransform,transformeforma
shearfactor,fatorinclinacao
showturtle,mostretartaruga
speed,velocidade
st,mt
stamp,carimbe
teleport,teletransporte
textinput,entradatexto
tilt,incline
tiltangle,anguloinclinacao
title,titulo
towards,emdirecao
tracer,rastreador
turtles,tartarugas
turtlesize,tamanhotartaruga
undo,desfazer
undobufferentries,entradasdesfazer
up,levante
update,atualize
width,largura
window_height,altura_janela
window_width,largura_janela
write,escreva
write_docstringdict,escreva_dicionario_docstrings
xcor,coordenadax
ycor,coordenaday
